 running on   12 total cores
 distrk:  each k-point on   12 cores,    1 groups
 distr:  one band on    6 cores,    2 groups
 using from now: INCAR     
 vasp.5.4.4.18Apr17-6-g9f103f2a35 (build Aug 13 2019 17:33:20) gamma-only       
  
 POSCAR found type information on POSCAR  Ty Ty
 POSCAR found :  2 types and      52 ions
 scaLAPACK will be used
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   1 type information:  Ty Ni
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   2 type information:  Ty S 
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.647149905440E+04    0.64715E+04   -0.36661E+05   848   0.154E+03
DAV:   2     0.349248884549E+03   -0.61223E+04   -0.59068E+04   736   0.492E+02
DAV:   3    -0.254226549461E+03   -0.60348E+03   -0.58205E+03   808   0.164E+02
DAV:   4    -0.284742302390E+03   -0.30516E+02   -0.30237E+02   792   0.350E+01
DAV:   5    -0.285821216426E+03   -0.10789E+01   -0.10778E+01   888   0.692E+00    0.838E+01
DAV:   6    -0.329787644443E+03   -0.43966E+02   -0.70048E+02   840   0.125E+02    0.134E+02
DAV:   7    -0.263263676361E+03    0.66524E+02   -0.15328E+02   760   0.757E+01    0.583E+01
DAV:   8    -0.316669209026E+03   -0.53406E+02   -0.18464E+02   920   0.939E+01    0.106E+02
DAV:   9    -0.261604369114E+03    0.55065E+02   -0.64100E+01   896   0.408E+01    0.425E+01
DAV:  10    -0.291909618377E+03   -0.30305E+02   -0.90892E+01   976   0.689E+01    0.101E+02
DAV:  11    -0.262713541170E+03    0.29196E+02   -0.58912E+01   944   0.423E+01    0.423E+01
DAV:  12    -0.254869682456E+03    0.78439E+01   -0.22977E+01   936   0.335E+01    0.231E+01
DAV:  13    -0.253388926864E+03    0.14808E+01   -0.10280E+01   944   0.246E+01    0.235E+01
DAV:  14    -0.251495939606E+03    0.18930E+01   -0.56450E+00   960   0.161E+01    0.141E+01
DAV:  15    -0.251028726321E+03    0.46721E+00   -0.84235E-01   904   0.477E+00    0.120E+01
DAV:  16    -0.250863935650E+03    0.16479E+00   -0.24407E-01   880   0.331E+00    0.115E+01
DAV:  17    -0.250638864318E+03    0.22507E+00   -0.19279E-01   944   0.311E+00    0.105E+01
DAV:  18    -0.250454356030E+03    0.18451E+00   -0.75718E-02   936   0.203E+00    0.964E+00
DAV:  19    -0.249889989893E+03    0.56437E+00   -0.53232E-01  1024   0.583E+00    0.651E+00
DAV:  20    -0.249707606103E+03    0.18238E+00   -0.58169E-01   976   0.501E+00    0.418E+00
DAV:  21    -0.249687689743E+03    0.19916E-01   -0.26929E-01   912   0.305E+00    0.309E+00
DAV:  22    -0.249676808400E+03    0.10881E-01   -0.13988E-01   856   0.272E+00    0.248E+00
DAV:  23    -0.249677764929E+03   -0.95653E-03   -0.10819E-01   872   0.232E+00    0.233E+00
DAV:  24    -0.249664633924E+03    0.13131E-01   -0.45260E-02   904   0.172E+00    0.152E+00
DAV:  25    -0.249663247388E+03    0.13865E-02   -0.30984E-02   968   0.129E+00    0.135E+00
DAV:  26    -0.249662762310E+03    0.48508E-03   -0.35516E-02   896   0.134E+00    0.119E+00
DAV:  27    -0.249659421816E+03    0.33405E-02   -0.18811E-02   872   0.928E-01    0.831E-01
DAV:  28    -0.249656881283E+03    0.25405E-02   -0.69171E-03   864   0.617E-01    0.366E-01
DAV:  29    -0.249657896341E+03   -0.10151E-02   -0.25473E-03   912   0.350E-01    0.488E-01
DAV:  30    -0.249657377831E+03    0.51851E-03   -0.11786E-03   776   0.287E-01    0.379E-01
DAV:  31    -0.249657205552E+03    0.17228E-03   -0.15465E-03   904   0.282E-01    0.230E-01
DAV:  32    -0.249657378909E+03   -0.17336E-03   -0.60420E-04   728   0.174E-01    0.140E-01
DAV:  33    -0.249657692163E+03   -0.31325E-03   -0.18127E-04   440   0.914E-02    0.104E-01
DAV:  34    -0.249657847850E+03   -0.15569E-03   -0.18352E-04   456   0.994E-02    0.116E-01
DAV:  35    -0.249658105722E+03   -0.25787E-03   -0.16799E-04   448   0.749E-02    0.559E-02
DAV:  36    -0.249658420659E+03   -0.31494E-03   -0.82829E-05   456   0.739E-02    0.804E-02
DAV:  37    -0.249658728333E+03   -0.30767E-03   -0.10063E-04   440   0.683E-02    0.900E-02
DAV:  38    -0.249658879918E+03   -0.15158E-03   -0.75176E-05   432   0.545E-02    0.554E-02
DAV:  39    -0.249658963891E+03   -0.83973E-04   -0.32466E-05   424   0.388E-02
   1 F= -.24965896E+03 E0= -.24923263E+03  d E =-.852663E+00
