 running on   12 total cores
 distrk:  each k-point on   12 cores,    1 groups
 distr:  one band on    6 cores,    2 groups
 using from now: INCAR     
 vasp.5.4.4.18Apr17-6-g9f103f2a35 (build Aug 13 2019 17:33:20) gamma-only       
  
 POSCAR found type information on POSCAR  Ty Ty
 POSCAR found :  2 types and      96 ions
 scaLAPACK will be used
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   1 type information:  Ty Ni
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   2 type information:  Ty S 
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.135643242431E+05    0.13564E+05   -0.68419E+05  1524   0.168E+03
DAV:   2     0.891785897609E+03   -0.12673E+05   -0.12242E+05  1334   0.542E+02
DAV:   3    -0.454640113419E+03   -0.13464E+04   -0.12759E+04  1456   0.192E+02
DAV:   4    -0.541437956727E+03   -0.86798E+02   -0.85828E+02  1496   0.433E+01
DAV:   5    -0.544420670571E+03   -0.29827E+01   -0.29786E+01  1640   0.862E+00    0.108E+02
DAV:   6    -0.637023208598E+03   -0.92603E+02   -0.13067E+03  1544   0.122E+02    0.178E+02
DAV:   7    -0.508308934690E+03    0.12871E+03   -0.27650E+02  1424   0.817E+01    0.842E+01
DAV:   8    -0.652661048897E+03   -0.14435E+03   -0.24111E+02  1696   0.112E+02    0.183E+02
DAV:   9    -0.554977959800E+03    0.97683E+02   -0.20270E+02  1688   0.913E+01    0.138E+02
DAV:  10    -0.548914547580E+03    0.60634E+01   -0.21631E+02  1784   0.704E+01    0.115E+02
DAV:  11    -0.537845677124E+03    0.11069E+02   -0.12590E+02  1752   0.623E+01    0.878E+01
DAV:  12    -0.513921729973E+03    0.23924E+02   -0.85956E+01  1720   0.496E+01    0.592E+01
DAV:  13    -0.494316677630E+03    0.19605E+02   -0.41145E+01  1648   0.425E+01    0.421E+01
DAV:  14    -0.488472121111E+03    0.58446E+01   -0.23395E+01  1760   0.238E+01    0.385E+01
DAV:  15    -0.484045540412E+03    0.44266E+01   -0.82351E+00  1712   0.144E+01    0.269E+01
DAV:  16    -0.482936440327E+03    0.11091E+01   -0.20964E+00  1720   0.632E+00    0.246E+01
DAV:  17    -0.481906712479E+03    0.10297E+01   -0.81173E-01  1672   0.525E+00    0.221E+01
DAV:  18    -0.481111147379E+03    0.79557E+00   -0.54247E-01  1672   0.404E+00    0.198E+01
DAV:  19    -0.480131885278E+03    0.97926E+00   -0.42603E-01  1760   0.390E+00    0.168E+01
DAV:  20    -0.478578193494E+03    0.15537E+01   -0.97743E-01  1856   0.621E+00    0.104E+01
DAV:  21    -0.478097354437E+03    0.48084E+00   -0.86271E-01  1736   0.435E+00    0.596E+00
DAV:  22    -0.477978809711E+03    0.11854E+00   -0.31890E-01  1728   0.233E+00    0.424E+00
DAV:  23    -0.477998988962E+03   -0.20179E-01   -0.19526E-01  1464   0.253E+00    0.484E+00
DAV:  24    -0.477956478684E+03    0.42510E-01   -0.10791E-01  1424   0.208E+00    0.344E+00
DAV:  25    -0.477977736694E+03   -0.21258E-01   -0.20255E-01  1712   0.311E+00    0.365E+00
DAV:  26    -0.477940092283E+03    0.37644E-01   -0.14282E-01  1720   0.230E+00    0.234E+00
DAV:  27    -0.477927657163E+03    0.12435E-01   -0.60243E-02  1664   0.145E+00    0.173E+00
DAV:  28    -0.477918571119E+03    0.90860E-02   -0.42049E-02  1744   0.115E+00    0.121E+00
DAV:  29    -0.477919262850E+03   -0.69173E-03   -0.21855E-02  1728   0.776E-01    0.120E+00
DAV:  30    -0.477914716187E+03    0.45467E-02   -0.13646E-02  1488   0.626E-01    0.709E-01
DAV:  31    -0.477913860455E+03    0.85573E-03   -0.53581E-03  1688   0.403E-01    0.549E-01
DAV:  32    -0.477913050044E+03    0.81041E-03   -0.26290E-03  1656   0.271E-01    0.422E-01
DAV:  33    -0.477912817176E+03    0.23287E-03   -0.18737E-03  1568   0.238E-01    0.339E-01
DAV:  34    -0.477912916833E+03   -0.99658E-04   -0.10225E-03  1416   0.176E-01    0.277E-01
DAV:  35    -0.477912930391E+03   -0.13557E-04   -0.63831E-04  1224   0.153E-01
   1 F= -.47791293E+03 E0= -.47731547E+03  d E =-.119492E+01
