 running on   12 total cores
 distrk:  each k-point on   12 cores,    1 groups
 distr:  one band on    6 cores,    2 groups
 using from now: INCAR     
 vasp.5.4.4.18Apr17-6-g9f103f2a35 (build Aug 13 2019 17:33:20) gamma-only       
  
 POSCAR found type information on POSCAR  Ty Ty
 POSCAR found :  2 types and     104 ions
 scaLAPACK will be used
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   1 type information:  Ty Ni
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   2 type information:  Ty S 
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.149109283339E+05    0.14911E+05   -0.74202E+05  1660   0.170E+03
DAV:   2     0.101862436019E+04   -0.13892E+05   -0.13427E+05  1428   0.550E+02
DAV:   3    -0.473477741265E+03   -0.14921E+04   -0.14107E+04  1560   0.196E+02
DAV:   4    -0.574285665050E+03   -0.10081E+03   -0.99247E+02  1584   0.449E+01
DAV:   5    -0.578186691919E+03   -0.39010E+01   -0.38925E+01  1776   0.946E+00    0.115E+02
DAV:   6    -0.675822744237E+03   -0.97636E+02   -0.13046E+03  1736   0.124E+02    0.190E+02
DAV:   7    -0.555243605504E+03    0.12058E+03   -0.29786E+02  1552   0.887E+01    0.999E+01
DAV:   8    -0.689554600106E+03   -0.13431E+03   -0.23307E+02  1920   0.113E+02    0.200E+02
DAV:   9    -0.573406793475E+03    0.11615E+03   -0.24306E+02  1760   0.886E+01    0.119E+02
DAV:  10    -0.623044157475E+03   -0.49637E+02   -0.22308E+02  2016   0.745E+01    0.135E+02
DAV:  11    -0.593485097957E+03    0.29559E+02   -0.11242E+02  1936   0.511E+01    0.981E+01
DAV:  12    -0.582077759872E+03    0.11407E+02   -0.93675E+01  1952   0.597E+01    0.114E+02
DAV:  13    -0.585922066063E+03   -0.38443E+01   -0.11196E+02  1864   0.619E+01    0.121E+02
DAV:  14    -0.537221100391E+03    0.48701E+02   -0.63451E+01  1896   0.344E+01    0.561E+01
DAV:  15    -0.523004273778E+03    0.14217E+02   -0.35014E+01  1904   0.308E+01    0.366E+01
DAV:  16    -0.519930248533E+03    0.30740E+01   -0.14565E+01  1896   0.184E+01    0.347E+01
DAV:  17    -0.517278142939E+03    0.26521E+01   -0.48592E+00  1800   0.112E+01    0.291E+01
DAV:  18    -0.515758528476E+03    0.15196E+01   -0.19362E+00  1904   0.797E+00    0.279E+01
DAV:  19    -0.514043294409E+03    0.17152E+01   -0.19182E+00  1888   0.814E+00    0.245E+01
DAV:  20    -0.511717187631E+03    0.23261E+01   -0.17948E+00  1928   0.849E+00    0.195E+01
DAV:  21    -0.510216826330E+03    0.15004E+01   -0.14778E+00  1872   0.606E+00    0.128E+01
DAV:  22    -0.509909279859E+03    0.30755E+00   -0.69555E-01  1872   0.415E+00    0.111E+01
DAV:  23    -0.509718692936E+03    0.19059E+00   -0.32241E-01  1648   0.324E+00    0.968E+00
DAV:  24    -0.509587226404E+03    0.13147E+00   -0.54766E-01  1920   0.511E+00    0.911E+00
DAV:  25    -0.509262762849E+03    0.32446E+00   -0.54104E-01  1864   0.466E+00    0.487E+00
DAV:  26    -0.509206188160E+03    0.56575E-01   -0.22049E-01  1864   0.234E+00    0.378E+00
DAV:  27    -0.509194984581E+03    0.11204E-01   -0.13197E-01  1728   0.201E+00    0.334E+00
DAV:  28    -0.509208568269E+03   -0.13584E-01   -0.17910E-01  1752   0.234E+00    0.322E+00
DAV:  29    -0.509184277931E+03    0.24290E-01   -0.59879E-02  1616   0.121E+00    0.230E+00
DAV:  30    -0.509172813742E+03    0.11464E-01   -0.14982E-02  1552   0.614E-01    0.183E+00
DAV:  31    -0.509173544387E+03   -0.73065E-03   -0.12388E-02  1880   0.664E-01    0.184E+00
DAV:  32    -0.509165139341E+03    0.84050E-02   -0.14052E-02  1840   0.761E-01    0.137E+00
DAV:  33    -0.509163546537E+03    0.15928E-02   -0.10010E-02  1856   0.576E-01    0.123E+00
DAV:  34    -0.509157718635E+03    0.58279E-02   -0.60169E-03  1888   0.461E-01    0.672E-01
DAV:  35    -0.509158005572E+03   -0.28694E-03   -0.24317E-03  1792   0.265E-01    0.636E-01
DAV:  36    -0.509157384506E+03    0.62107E-03   -0.17051E-03  1616   0.265E-01    0.490E-01
DAV:  37    -0.509157276519E+03    0.10799E-03   -0.40256E-04  1016   0.867E-02    0.424E-01
DAV:  38    -0.509157218197E+03    0.58323E-04   -0.28342E-04   992   0.995E-02
   1 F= -.50915722E+03 E0= -.50853974E+03  d E =-.123497E+01
