 running on   48 total cores
 distrk:  each k-point on   48 cores,    1 groups
 distr:  one band on    6 cores,    8 groups
 using from now: INCAR     
 vasp.6.1.0 28Jan20 (build Mar 31 2020 17:42:31) gamma-only                     
  
 POSCAR found type information on POSCAR NiS 
 POSCAR found :  2 types and     104 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.146475289472E+05    0.14648E+05   -0.73502E+05  1664   0.169E+03
DAV:   2     0.102155183800E+04   -0.13626E+05   -0.13168E+05  1424   0.545E+02
DAV:   3    -0.471463865867E+03   -0.14930E+04   -0.13913E+04  1584   0.192E+02
DAV:   4    -0.582658578840E+03   -0.11119E+03   -0.10924E+03  1672   0.448E+01
DAV:   5    -0.586295475822E+03   -0.36369E+01   -0.36291E+01  1728   0.876E+00    0.996E+01
DAV:   6    -0.729121187775E+03   -0.14283E+03   -0.14264E+03  1656   0.119E+02    0.195E+02
DAV:   7    -0.560329810037E+03    0.16879E+03   -0.23393E+02  1664   0.675E+01    0.100E+02
DAV:   8    -0.794474538854E+03   -0.23414E+03   -0.17876E+02  1688   0.124E+02    0.199E+02
DAV:   9    -0.660153702034E+03    0.13432E+03   -0.27483E+02  1992   0.651E+01    0.136E+02
DAV:  10    -0.574380457517E+03    0.85773E+02   -0.10094E+02  1952   0.545E+01    0.106E+02
DAV:  11    -0.543810235848E+03    0.30570E+02   -0.12757E+02  1904   0.445E+01    0.640E+01
DAV:  12    -0.570818351903E+03   -0.27008E+02   -0.96344E+01  1864   0.522E+01    0.142E+02
DAV:  13    -0.554420105036E+03    0.16398E+02   -0.78246E+01  1872   0.432E+01    0.845E+01
DAV:  14    -0.549320658584E+03    0.50994E+01   -0.56664E+01  1896   0.352E+01    0.761E+01
DAV:  15    -0.539477821442E+03    0.98428E+01   -0.41292E+01  1864   0.282E+01    0.511E+01
DAV:  16    -0.527466531020E+03    0.12011E+02   -0.11849E+01  1824   0.202E+01    0.380E+01
DAV:  17    -0.522775844525E+03    0.46907E+01   -0.74979E+00  1896   0.122E+01    0.358E+01
DAV:  18    -0.519900840425E+03    0.28750E+01   -0.43707E+00  1856   0.108E+01    0.315E+01
DAV:  19    -0.518149188043E+03    0.17517E+01   -0.24224E+00  1912   0.900E+00    0.282E+01
DAV:  20    -0.516376230448E+03    0.17730E+01   -0.16887E+00  1896   0.682E+00    0.249E+01
DAV:  21    -0.515069525450E+03    0.13067E+01   -0.11732E+00  1888   0.461E+00    0.224E+01
DAV:  22    -0.514308239576E+03    0.76129E+00   -0.90000E-01  1872   0.507E+00    0.202E+01
DAV:  23    -0.513083824101E+03    0.12244E+01   -0.77477E-01  2032   0.522E+00    0.145E+01
DAV:  24    -0.512791341764E+03    0.29248E+00   -0.13307E+00  1896   0.650E+00    0.136E+01
DAV:  25    -0.512373768649E+03    0.41757E+00   -0.71214E-01  1888   0.415E+00    0.113E+01
DAV:  26    -0.512408058412E+03   -0.34290E-01   -0.62780E-01  1912   0.390E+00    0.166E+01
DAV:  27    -0.512115756355E+03    0.29230E+00   -0.45639E-01  1808   0.172E+00    0.824E+00
DAV:  28    -0.512563671317E+03   -0.44791E+00   -0.65892E-01  1896   0.277E+00    0.243E+01
DAV:  29    -0.512362328549E+03    0.20134E+00   -0.26847E-01  1880   0.215E+00    0.195E+01
DAV:  30    -0.512298176788E+03    0.64152E-01   -0.19812E-01  1840   0.231E+00    0.193E+01
DAV:  31    -0.512011806293E+03    0.28637E+00   -0.42427E-01  1896   0.202E+00    0.942E+00
DAV:  32    -0.511863441644E+03    0.14836E+00   -0.26388E-01  1896   0.199E+00    0.417E+00
DAV:  33    -0.511844900376E+03    0.18541E-01   -0.10633E-01  1904   0.154E+00    0.306E+00
DAV:  34    -0.511844418232E+03    0.48214E-03   -0.63271E-02  1880   0.120E+00    0.271E+00
DAV:  35    -0.511829558586E+03    0.14860E-01   -0.29962E-02  1672   0.938E-01    0.179E+00
DAV:  36    -0.511835329773E+03   -0.57712E-02   -0.15797E-02  1880   0.719E-01    0.208E+00
DAV:  37    -0.511839829225E+03   -0.44995E-02   -0.20777E-02  1960   0.680E-01    0.235E+00
DAV:  38    -0.511856854728E+03   -0.17026E-01   -0.20322E-02  1888   0.805E-01    0.300E+00
DAV:  39    -0.511861095396E+03   -0.42407E-02   -0.19384E-02  1888   0.738E-01    0.308E+00
DAV:  40    -0.511852698874E+03    0.83965E-02   -0.89639E-03  1880   0.501E-01    0.278E+00
DAV:  41    -0.511835812206E+03    0.16887E-01   -0.62330E-03  1872   0.421E-01    0.202E+00
DAV:  42    -0.511833042607E+03    0.27696E-02   -0.25255E-03  1808   0.270E-01    0.183E+00
DAV:  43    -0.511830560671E+03    0.24819E-02   -0.12624E-03  1512   0.190E-01    0.169E+00
DAV:  44    -0.511829268816E+03    0.12919E-02   -0.59025E-04  1320   0.135E-01    0.160E+00
DAV:  45    -0.511824146170E+03    0.51226E-02   -0.15101E-03  1568   0.203E-01    0.114E+00
DAV:  46    -0.511822150138E+03    0.19960E-02   -0.10249E-03  1536   0.164E-01    0.854E-01
DAV:  47    -0.511821335436E+03    0.81470E-03   -0.52859E-04  1240   0.109E-01    0.639E-01
DAV:  48    -0.511821312407E+03    0.23028E-04   -0.30679E-04  1104   0.955E-02
   1 F= -.51182131E+03 E0= -.51100777E+03  d E =-.162708E+01
