 running on   12 total cores
 distrk:  each k-point on   12 cores,    1 groups
 distr:  one band on    6 cores,    2 groups
 using from now: INCAR     
 vasp.5.4.4.18Apr17-6-g9f103f2a35 (build Aug 13 2019 17:33:20) gamma-only       
  
 POSCAR found type information on POSCAR  Ty Ty
 POSCAR found :  2 types and      72 ions
 scaLAPACK will be used
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   1 type information:  Ty Ni
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   2 type information:  Ty S 
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.998961184656E+04    0.99896E+04   -0.51361E+05  1160   0.165E+03
DAV:   2     0.638875379232E+03   -0.93507E+04   -0.90401E+04   996   0.534E+02
DAV:   3    -0.335429795788E+03   -0.97431E+03   -0.92330E+03  1088   0.187E+02
DAV:   4    -0.395985246939E+03   -0.60555E+02   -0.59819E+02  1072   0.421E+01
DAV:   5    -0.398514033008E+03   -0.25288E+01   -0.25250E+01  1264   0.915E+00    0.965E+01
DAV:   6    -0.462891891735E+03   -0.64378E+02   -0.91805E+02  1184   0.123E+02    0.153E+02
DAV:   7    -0.364875392219E+03    0.98016E+02   -0.19763E+02  1080   0.789E+01    0.637E+01
DAV:   8    -0.427694394646E+03   -0.62819E+02   -0.22963E+02  1272   0.948E+01    0.131E+02
DAV:   9    -0.373606946507E+03    0.54087E+02   -0.11284E+02  1240   0.581E+01    0.613E+01
DAV:  10    -0.410777017104E+03   -0.37170E+02   -0.98258E+01  1272   0.706E+01    0.103E+02
DAV:  11    -0.375515989797E+03    0.35261E+02   -0.59332E+01  1264   0.524E+01    0.608E+01
DAV:  12    -0.363968934608E+03    0.11547E+02   -0.35700E+01  1296   0.364E+01    0.359E+01
DAV:  13    -0.359644250924E+03    0.43247E+01   -0.20251E+01  1240   0.309E+01    0.368E+01
DAV:  14    -0.355900195671E+03    0.37441E+01   -0.14217E+01  1312   0.224E+01    0.254E+01
DAV:  15    -0.353682886527E+03    0.22173E+01   -0.45615E+00  1312   0.136E+01    0.203E+01
DAV:  16    -0.352624556361E+03    0.10583E+01   -0.18203E+00  1296   0.866E+00    0.171E+01
DAV:  17    -0.352169830882E+03    0.45473E+00   -0.57893E-01  1288   0.439E+00    0.157E+01
DAV:  18    -0.351739707330E+03    0.43012E+00   -0.29817E-01  1264   0.374E+00    0.143E+01
DAV:  19    -0.351343463715E+03    0.39624E+00   -0.18663E-01  1312   0.287E+00    0.131E+01
DAV:  20    -0.350551844570E+03    0.79162E+00   -0.34784E-01  1408   0.451E+00    0.100E+01
DAV:  21    -0.349813437518E+03    0.73841E+00   -0.77254E-01  1376   0.676E+00    0.584E+00
DAV:  22    -0.349665779921E+03    0.14766E+00   -0.46185E-01  1296   0.343E+00    0.351E+00
DAV:  23    -0.349638550463E+03    0.27229E-01   -0.13137E-01  1248   0.163E+00    0.271E+00
DAV:  24    -0.349634810498E+03    0.37400E-02   -0.52413E-02  1056   0.128E+00    0.260E+00
DAV:  25    -0.349640224997E+03   -0.54145E-02   -0.57508E-02  1160   0.192E+00    0.251E+00
DAV:  26    -0.349622429361E+03    0.17796E-01   -0.80135E-02  1312   0.210E+00    0.160E+00
DAV:  27    -0.349624211004E+03   -0.17816E-02   -0.53442E-02  1280   0.164E+00    0.159E+00
DAV:  28    -0.349612695016E+03    0.11516E-01   -0.27119E-02  1144   0.112E+00    0.660E-01
DAV:  29    -0.349612738092E+03   -0.43076E-04   -0.71293E-03  1216   0.515E-01    0.627E-01
DAV:  30    -0.349611670780E+03    0.10673E-02   -0.34950E-03  1240   0.420E-01    0.384E-01
DAV:  31    -0.349612169634E+03   -0.49885E-03   -0.30457E-03  1256   0.382E-01    0.424E-01
DAV:  32    -0.349611979531E+03    0.19010E-03   -0.21596E-03  1136   0.329E-01    0.266E-01
DAV:  33    -0.349612189604E+03   -0.21007E-03   -0.89056E-04  1120   0.209E-01    0.258E-01
DAV:  34    -0.349612246176E+03   -0.56571E-04   -0.41111E-04   824   0.164E-01
   1 F= -.34961225E+03 E0= -.34914211E+03  d E =-.940272E+00
