 running on   48 total cores
 distrk:  each k-point on   48 cores,    1 groups
 distr:  one band on    6 cores,    8 groups
 using from now: INCAR     
 vasp.6.1.0 28Jan20 (build Mar 31 2020 17:42:31) gamma-only                     
  
 POSCAR found type information on POSCAR NiS 
 POSCAR found :  2 types and      76 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.104182548655E+05    0.10418E+05   -0.53647E+05  1232   0.166E+03
DAV:   2     0.646283882492E+03   -0.97720E+04   -0.94216E+04  1072   0.530E+02
DAV:   3    -0.360900590342E+03   -0.10072E+04   -0.94864E+03  1152   0.182E+02
DAV:   4    -0.427802054082E+03   -0.66901E+02   -0.66086E+02  1216   0.414E+01
DAV:   5    -0.430056248704E+03   -0.22542E+01   -0.22512E+01  1272   0.798E+00    0.852E+01
DAV:   6    -0.524175355179E+03   -0.94119E+02   -0.10413E+03  1232   0.120E+02    0.165E+02
DAV:   7    -0.406037912364E+03    0.11814E+03   -0.20223E+02  1168   0.713E+01    0.726E+01
DAV:   8    -0.566737111209E+03   -0.16070E+03   -0.15735E+02  1240   0.111E+02    0.183E+02
DAV:   9    -0.401566731129E+03    0.16517E+03   -0.20160E+02  1320   0.610E+01    0.610E+01
DAV:  10    -0.405918989630E+03   -0.43523E+01   -0.73171E+01  1432   0.525E+01    0.919E+01
DAV:  11    -0.401046534143E+03    0.48725E+01   -0.75411E+01  1384   0.425E+01    0.567E+01
DAV:  12    -0.395845189974E+03    0.52013E+01   -0.35525E+01  1360   0.389E+01    0.551E+01
DAV:  13    -0.391910944709E+03    0.39342E+01   -0.28450E+01  1328   0.312E+01    0.451E+01
DAV:  14    -0.385504712678E+03    0.64062E+01   -0.16325E+01  1280   0.265E+01    0.359E+01
DAV:  15    -0.382304804983E+03    0.31999E+01   -0.10336E+01  1328   0.187E+01    0.276E+01
DAV:  16    -0.379850208729E+03    0.24546E+01   -0.38072E+00  1272   0.122E+01    0.219E+01
DAV:  17    -0.379061308952E+03    0.78890E+00   -0.19433E+00  1360   0.774E+00    0.189E+01
DAV:  18    -0.378564220175E+03    0.49709E+00   -0.90888E-01  1328   0.600E+00    0.166E+01
DAV:  19    -0.378259983867E+03    0.30424E+00   -0.72051E-01  1376   0.544E+00    0.151E+01
DAV:  20    -0.377721447361E+03    0.53854E+00   -0.52398E-01  1392   0.411E+00    0.122E+01
DAV:  21    -0.377434218613E+03    0.28723E+00   -0.43481E-01  1400   0.403E+00    0.103E+01
DAV:  22    -0.377089223190E+03    0.34500E+00   -0.48035E-01  1464   0.424E+00    0.658E+00
DAV:  23    -0.376983920594E+03    0.10530E+00   -0.29902E-01  1368   0.317E+00    0.490E+00
DAV:  24    -0.376979051077E+03    0.48695E-02   -0.20020E-01  1352   0.245E+00    0.495E+00
DAV:  25    -0.376917302588E+03    0.61748E-01   -0.84614E-02  1272   0.168E+00    0.319E+00
DAV:  26    -0.376936037501E+03   -0.18735E-01   -0.80619E-02  1384   0.195E+00    0.393E+00
DAV:  27    -0.376882050328E+03    0.53987E-01   -0.10775E-01  1384   0.196E+00    0.221E+00
DAV:  28    -0.376887803123E+03   -0.57528E-02   -0.78673E-02  1384   0.183E+00    0.225E+00
DAV:  29    -0.376876357332E+03    0.11446E-01   -0.48381E-02  1312   0.135E+00    0.156E+00
DAV:  30    -0.376873587913E+03    0.27694E-02   -0.19708E-02  1328   0.886E-01    0.123E+00
DAV:  31    -0.376869583269E+03    0.40046E-02   -0.93541E-03  1368   0.578E-01    0.663E-01
DAV:  32    -0.376869451319E+03    0.13195E-03   -0.35354E-03  1312   0.423E-01    0.636E-01
DAV:  33    -0.376868792785E+03    0.65853E-03   -0.25608E-03  1208   0.323E-01    0.433E-01
DAV:  34    -0.376869012895E+03   -0.22011E-03   -0.20163E-03  1296   0.298E-01    0.447E-01
DAV:  35    -0.376869054761E+03   -0.41866E-04   -0.19670E-03  1096   0.264E-01    0.319E-01
DAV:  36    -0.376869022145E+03    0.32617E-04   -0.83721E-04   984   0.212E-01
   1 F= -.37686902E+03 E0= -.37630726E+03  d E =-.112352E+01
