 running on   48 total cores
 distrk:  each k-point on   48 cores,    1 groups
 distr:  one band on    6 cores,    8 groups
 using from now: INCAR     
 vasp.6.1.0 28Jan20 (build Mar 31 2020 17:42:31) gamma-only                     
  
 POSCAR found type information on POSCAR NiS 
 POSCAR found :  2 types and      60 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.760871097556E+04    0.76087E+04   -0.42058E+05   976   0.157E+03
DAV:   2     0.447645328281E+03   -0.71611E+04   -0.69041E+04   848   0.501E+02
DAV:   3    -0.287731293291E+03   -0.73538E+03   -0.69438E+03   952   0.166E+02
DAV:   4    -0.332990245956E+03   -0.45259E+02   -0.44686E+02  1000   0.363E+01
DAV:   5    -0.334112026710E+03   -0.11218E+01   -0.11199E+01   984   0.614E+00    0.743E+01
DAV:   6    -0.421367946165E+03   -0.87256E+02   -0.85427E+02   944   0.122E+02    0.154E+02
DAV:   7    -0.311251604009E+03    0.11012E+03   -0.15726E+02   936   0.617E+01    0.613E+01
DAV:   8    -0.314312669500E+03   -0.30611E+01   -0.14427E+02  1104   0.629E+01    0.100E+02
DAV:   9    -0.299747140845E+03    0.14566E+02   -0.57910E+01  1024   0.280E+01    0.382E+01
DAV:  10    -0.315064448062E+03   -0.15317E+02   -0.43184E+01  1072   0.481E+01    0.990E+01
DAV:  11    -0.307476005450E+03    0.75884E+01   -0.35411E+01  1104   0.278E+01    0.574E+01
DAV:  12    -0.295957777638E+03    0.11518E+02   -0.22084E+01  1144   0.289E+01    0.307E+01
DAV:  13    -0.295631410574E+03    0.32637E+00   -0.15382E+01  1072   0.211E+01    0.291E+01
DAV:  14    -0.293725654471E+03    0.19058E+01   -0.88597E+00  1048   0.156E+01    0.219E+01
DAV:  15    -0.291948642882E+03    0.17770E+01   -0.31107E+00  1040   0.121E+01    0.154E+01
DAV:  16    -0.291714318257E+03    0.23432E+00   -0.19108E+00  1040   0.877E+00    0.136E+01
DAV:  17    -0.291177075149E+03    0.53724E+00   -0.67649E-01  1040   0.598E+00    0.106E+01
DAV:  18    -0.291073220105E+03    0.10386E+00   -0.60349E-01  1072   0.573E+00    0.994E+00
DAV:  19    -0.290763164910E+03    0.31006E+00   -0.42190E-01  1104   0.461E+00    0.696E+00
DAV:  20    -0.290718972306E+03    0.44193E-01   -0.31742E-01  1080   0.377E+00    0.638E+00
DAV:  21    -0.290573667041E+03    0.14531E+00   -0.17406E-01  1112   0.289E+00    0.383E+00
DAV:  22    -0.290575228191E+03   -0.15611E-02   -0.12731E-01  1104   0.239E+00    0.398E+00
DAV:  23    -0.290556236678E+03    0.18992E-01   -0.14439E-01  1104   0.252E+00    0.314E+00
DAV:  24    -0.290549556859E+03    0.66798E-02   -0.90007E-02  1040   0.217E+00    0.266E+00
DAV:  25    -0.290543216137E+03    0.63407E-02   -0.63535E-02  1096   0.169E+00    0.216E+00
DAV:  26    -0.290542037689E+03    0.11784E-02   -0.38415E-02  1080   0.144E+00    0.206E+00
DAV:  27    -0.290529035037E+03    0.13003E-01   -0.20156E-02  1088   0.797E-01    0.142E+00
DAV:  28    -0.290526306154E+03    0.27289E-02   -0.12399E-02  1080   0.717E-01    0.124E+00
DAV:  29    -0.290523269991E+03    0.30362E-02   -0.10821E-02  1104   0.657E-01    0.824E-01
DAV:  30    -0.290521018257E+03    0.22517E-02   -0.63952E-03  1056   0.568E-01    0.402E-01
DAV:  31    -0.290521693400E+03   -0.67514E-03   -0.31700E-03  1064   0.378E-01    0.475E-01
DAV:  32    -0.290521069113E+03    0.62429E-03   -0.19920E-03   864   0.329E-01    0.238E-01
DAV:  33    -0.290521370704E+03   -0.30159E-03   -0.76295E-04   792   0.213E-01    0.235E-01
DAV:  34    -0.290521349366E+03    0.21338E-04   -0.41095E-04   664   0.172E-01
   1 F= -.29052135E+03 E0= -.29003267E+03  d E =-.977367E+00
