 running on   48 total cores
 distrk:  each k-point on   48 cores,    1 groups
 distr:  one band on    6 cores,    8 groups
 using from now: INCAR     
 vasp.6.1.0 28Jan20 (build Mar 31 2020 17:42:31) gamma-only                     
  
 POSCAR found type information on POSCAR NiS 
 POSCAR found :  2 types and      60 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.761653534987E+04    0.76165E+04   -0.42138E+05   976   0.157E+03
DAV:   2     0.446829334567E+03   -0.71697E+04   -0.69258E+04   840   0.501E+02
DAV:   3    -0.289250204117E+03   -0.73608E+03   -0.69724E+03   944   0.167E+02
DAV:   4    -0.334489346007E+03   -0.45239E+02   -0.44617E+02   976   0.367E+01
DAV:   5    -0.335814837333E+03   -0.13255E+01   -0.13236E+01   992   0.685E+00    0.747E+01
DAV:   6    -0.414048109270E+03   -0.78233E+02   -0.82613E+02   984   0.122E+02    0.148E+02
DAV:   7    -0.315477727084E+03    0.98570E+02   -0.16366E+02   936   0.681E+01    0.642E+01
DAV:   8    -0.410824619044E+03   -0.95347E+02   -0.13476E+02  1072   0.101E+02    0.156E+02
DAV:   9    -0.332757383097E+03    0.78067E+02   -0.22542E+02  1088   0.460E+01    0.711E+01
DAV:  10    -0.307071838997E+03    0.25686E+02   -0.52511E+01  1088   0.522E+01    0.730E+01
DAV:  11    -0.306804858927E+03    0.26698E+00   -0.61454E+01  1104   0.273E+01    0.413E+01
DAV:  12    -0.304680202827E+03    0.21247E+01   -0.31147E+01  1072   0.343E+01    0.455E+01
DAV:  13    -0.301526001195E+03    0.31542E+01   -0.21108E+01  1032   0.310E+01    0.354E+01
DAV:  14    -0.297142118639E+03    0.43839E+01   -0.10809E+01  1016   0.198E+01    0.235E+01
DAV:  15    -0.295953679917E+03    0.11884E+01   -0.56924E+00  1064   0.137E+01    0.191E+01
DAV:  16    -0.294342647717E+03    0.16110E+01   -0.20756E+00  1096   0.953E+00    0.145E+01
DAV:  17    -0.294086936371E+03    0.25571E+00   -0.11771E+00  1080   0.693E+00    0.130E+01
DAV:  18    -0.293880179301E+03    0.20676E+00   -0.69647E-01  1080   0.510E+00    0.117E+01
DAV:  19    -0.293627454751E+03    0.25272E+00   -0.30750E-01  1096   0.397E+00    0.992E+00
DAV:  20    -0.293429555967E+03    0.19790E+00   -0.22074E-01  1096   0.321E+00    0.823E+00
DAV:  21    -0.293236445339E+03    0.19311E+00   -0.31050E-01  1152   0.399E+00    0.605E+00
DAV:  22    -0.293193068175E+03    0.43377E-01   -0.32063E-01  1096   0.385E+00    0.557E+00
DAV:  23    -0.293112098568E+03    0.80970E-01   -0.24826E-01  1048   0.336E+00    0.354E+00
DAV:  24    -0.293124091052E+03   -0.11992E-01   -0.18190E-01  1000   0.234E+00    0.396E+00
DAV:  25    -0.293090428843E+03    0.33662E-01   -0.11524E-01   936   0.198E+00    0.251E+00
DAV:  26    -0.293092769789E+03   -0.23409E-02   -0.58128E-02  1064   0.183E+00    0.239E+00
DAV:  27    -0.293083379946E+03    0.93898E-02   -0.47092E-02  1112   0.144E+00    0.200E+00
DAV:  28    -0.293074344563E+03    0.90354E-02   -0.27431E-02  1096   0.103E+00    0.136E+00
DAV:  29    -0.293070026960E+03    0.43176E-02   -0.13172E-02  1088   0.840E-01    0.691E-01
DAV:  30    -0.293069303159E+03    0.72380E-03   -0.77589E-03  1080   0.676E-01    0.519E-01
DAV:  31    -0.293069893863E+03   -0.59070E-03   -0.44168E-03  1080   0.512E-01    0.561E-01
DAV:  32    -0.293069505074E+03    0.38879E-03   -0.20578E-03   928   0.392E-01    0.416E-01
DAV:  33    -0.293069686590E+03   -0.18152E-03   -0.15186E-03   904   0.290E-01    0.275E-01
DAV:  34    -0.293069768393E+03   -0.81803E-04   -0.79364E-04   808   0.236E-01
   1 F= -.29306977E+03 E0= -.29263338E+03  d E =-.872784E+00
